accession_id	study_3_FT16	study_3_FT10	study_4_Diameter	study_4_CL	study_4_Length	study_4_RL	study_4_RBN	study_4_DTF2	study_4_DTF3	study_4_DTF1	study_5_rFitness.mhi	study_5_rFitness.mhp	study_5_rSeeds.tli	study_5_rSeeds.tlp	study_5_rFitness.tlp	study_5_rFitness.tli	study_5_rSeeds.mhi	study_5_rFitness.mli	study_5_rSeeds.mli	study_5_rSeeds.thi	study_5_rFitness.thi	study_5_rFitness.thp	study_5_rSeeds.thp	study_5_rSeeds.mhp	study_5_rSeeds.mlp
765	-1.44569073373278	-1.49429822655371	-0.715663747155199	-1.87893971186338	-1.60053812664611	-1.90917836585832	-0.0438415902729202	-1.26534317239015	-1.47587183713175	-1.33272239099814	-0.48377446904646	0.12679547541677	1.62180442016123	-0.0499150810635525	0.824243297826273	3.7051456003931	-0.277467139105291	3.40334586835604	0.550515150221782	-0.531867357284827	0.0307369211687421	-0.54542937425773	-0.396885282165613	-0.473353701536138	0.142680831011874
766	-1.25028533712326	-1.11758580053298	-1.02351648035891	-1.60454445815355	-3.034301673991	-1.6272874295935	-0.0438415902729202	-1.26852921061137	-1.28047961840048	-1.33910143371863	0.219258711026256	-1.04512680514421	0.741321873261953	NA	-1.21807198771581	1.95233380975212	-0.202100940756215	1.97516254918962	-0.00559126563930082	0.380030258521553	0.891211886613356	-0.203067834866427	0.275128321824562	0.252345844934768	NA
768	0.152789478796318	-0.392065572641219	-1.02351648035891	-0.0130519866365067	-0.405735170525373	-0.84096008106533	0.325139452543479	0.0696068958277801	0.122500576032557	0.0961831496856878	-0.22616446115071	0.56487510268331	-0.835075566484	-0.399504717974804	0.148446840343111	-0.489251225055696	-0.698503653059644	0.76708537385394	-0.307252453524385	-0.282582777915418	0.265964137829702	1.3789499039543	1.08448331463798	1.34366471828736	-0.488084245290841
770	-0.0778529566973113	-0.461827133015427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
772	-1.18301462677095	-0.894348807335517	-0.407811013951488	-1.49478635666961	-0.166774579301225	-1.61245106452694	0.448133133359285	-1.18250617519743	-1.21321344469478	-1.1955729753782	-2.04755799910221	-1.25128462651435	-0.0829374808774567	0.511388488505091	1.87655492465243	1.36086495052551	-0.848843191866571	-0.308810603398628	-0.89492536372954	0.111672446444266	0.637986987374005	0.980776472524018	0.521756167432375	0.824766695288836	-0.0971180412467682
801	0.537193537952366	0.626453208822218	-1.33136921356262	1.35892428191267	0.151839542729239	1.11744010772182	-1.02779103790631	0.308559771977629	0.506878711493663	0.392808630255914	0.0343765190612336	-0.0849047182792151	-0.538445442794547	-0.647680751463638	0.252849323618441	0.785796635154059	-0.40814325834685	0.0721965409002143	-0.443279988941488	-0.227837167287767	-0.344286766313821	0.325012494583145	-0.405016353299339	-0.728852612686231	-0.571375045330388
870	-0.46225701585336	-0.615302565838685	NA	-0.452084392572242	NA	-0.0843054626702937	NA	-0.38918262637993	-0.492504440705211	-0.401382172561143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
915	-1.18301462677095	-1.10363348845814	0.720982342154959	-0.945995849249945	-0.48538870133169	-1.31572376319555	-0.166835271088726	-1.21118052033541	-1.21321344469478	-1.23384723093565	1.0878476904307	1.28437571381914	0.409949861193395	4.1334335450308	1.19837066493825	1.65028064203763	0.76589971556711	-0.123371305812168	-0.385072716793211	0.40484584499625	0.0428995870816756	0.93418106186958	1.04204816119966	0.923718662364727	0.13921955998659
932	-0.212394377401928	-0.308351700192169	NA	0.480859470041196	NA	0.598167330391896	NA	-0.207578440506045	-0.242658652655493	-0.171736639216452	-0.526743718406233	0.817399131508125	0.66701627257868	0.844441933352646	-0.0591856496660596	0.720348196000322	-0.193305644272828	0.530833866804297	0.889438812826552	0.112166133758263	0.63845283644296	-0.639521086315683	-0.581575748185661	0.360129154887998	0.0336440455214737
991	1.24834104739106	1.50544886953724	-0.407811013951488	4.21263492049495	-0.326081639719056	2.25984021784766	-0.41282263308932	0.834256099507297	1.21797826209671	0.852099696945295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
